rankings_school,rank_by_paper_frac_sum,rank_by_citation_frac_sum,paper_frac_sum,citation_frac_sum_openalex,people_count,paper_concentration_top3_share,citation_concentration_top3_share
MIT,1,1,64.3696,2176.5786,74,0.3910,0.3254
Columbia,2,6,39.3337,1186.4105,65,0.1695,0.2236
Wharton (UPenn),3,2,37.5518,2138.0830,65,0.2219,0.3405
Michigan (Ross),4,4,30.7090,1297.4119,48,0.2236,0.3868
Stanford,5,3,28.1480,1707.6999,50,0.2191,0.4021
UW (Foster),6,5,25.7908,1264.7337,60,0.1551,0.3322
Cornell,7,10,25.2355,887.8008,43,0.2625,0.3152
UC Berkeley (Haas),8,9,22.3258,899.5738,34,0.3897,0.7390
UT Dallas,9,24,22.2662,582.7334,27,0.2859,0.3700
USC (Marshall),10,7,21.6331,1164.7001,31,0.3290,0.4499
Toronto (Rotman),11,11,20.5236,874.2498,37,0.3318,0.5040
NYU (Stern),12,8,17.7119,1004.3166,29,0.2870,0.3768
Duke (Fuqua),13,13,16.9856,763.5382,28,0.2944,0.5420
Chicago (Booth),14,12,16.8022,763.7497,33,0.2748,0.5880
Harvard,15,18,16.3928,660.5717,42,0.2684,0.4075
Northwestern (Kellogg),16,16,15.5926,677.2000,32,0.3527,0.4418
Carnegie Mellon (Tepper),17,14,15.3498,734.2334,27,0.3420,0.6367
UNC (Kenan-Flagler),18,19,15.1663,630.6666,28,0.2912,0.4597
Georgia Tech (Scheller),19,22,14.1662,597.1667,25,0.2588,0.4150
UIUC (Gies),20,32,13.6330,343.9999,26,0.3240,0.4591
UCLA (Anderson),21,17,13.1759,672.1572,21,0.2973,0.6180
UBC (Sauder),22,33,13.0247,341.4000,24,0.3967,0.5397
Minnesota (Carlson),23,26,11.3662,478.4166,26,0.2273,0.4830
Indiana (Kelley),24,21,11.1166,627.2499,23,0.3298,0.5479
Wisconsin-Madison,25,25,10.6999,496.1500,15,0.4548,0.6458
SMU (Cox),26,34,9.5781,329.7190,28,0.2436,0.5969
Purdue (Daniels),27,39,8.6664,227.7334,12,0.5308,0.5430
Penn State (Smeal),28,31,8.4997,344.8333,16,0.3726,0.6288
Virginia (Darden),29,35,8.2664,317.2000,20,0.3327,0.5585
Dartmouth (Tuck),30,27,8.2499,426.9166,11,0.5253,0.7781
Florida (Warrington),31,38,8.1915,230.7834,18,0.3154,0.6662
McGill (Desautels),32,29,7.8165,361.0334,11,0.6546,0.8229
Boston U (Questrom),33,30,7.2832,359.7832,16,0.3890,0.7582
Maryland (Smith),34,20,6.9331,630.4667,18,0.2572,0.8097
Yale,35,40,6.8998,147.8667,14,0.4831,0.7828
Johns Hopkins (Carey),36,41,6.8927,141.3335,13,0.6287,0.6498
WashU (Olin),37,15,6.8094,708.8570,11,0.5839,0.7924
Boston College (Carroll),38,23,5.8999,596.8333,10,0.6469,0.9542
UC San Diego (Rady),39,37,5.0595,237.0714,8,0.6918,0.9181
Emory (Goizueta),40,28,4.5000,419.2501,6,0.6667,0.8398
Arizona State (Carey),41,47,3.1428,25.4404,9,0.4432,0.7183
Texas A&M (Mays),42,44,3.0333,88.8334,8,0.5495,0.6323
Colorado (Leeds),43,36,2.7831,243.3501,8,0.4491,0.8688
Michigan State (Broad),44,49,2.2499,12.9166,6,0.5926,0.7936
Iowa (Tippie),45,43,1.5832,100.3334,4,0.7895,0.9169
Notre Dame (Mendoza),46,48,1.5000,24.0000,5,0.6667,0.9062
Virginia Tech (Pamplin),47,45,1.2499,57.5834,4,0.8000,0.9305
Ohio State (Fisher),48,42,1.2191,118.7239,6,0.6015,0.7429
Northeastern,49,46,0.5000,31.7500,1,1.0000,1.0000
