school,information_systems,statistics,economics,engineering,computer_science,total_flagged_rows
Arizona State (Carey),1,0,0,0,0,1
Boston College (Carroll),0,0,0,0,0,0
Boston U (Questrom),1,0,3,1,0,5
Carnegie Mellon (Tepper),0,0,0,0,0,0
Chicago (Booth),0,0,0,0,0,0
Colorado (Leeds),0,0,0,0,0,0
Columbia,0,2,1,0,0,3
Cornell,0,0,0,0,0,0
Dartmouth (Tuck),0,0,1,0,0,1
Duke (Fuqua),0,0,0,0,0,0
Emory (Goizueta),0,0,0,0,0,0
Florida (Warrington),2,0,0,0,0,2
Georgia Tech (Scheller),0,0,0,0,0,0
Harvard,0,0,0,0,0,0
Indiana (Kelley),0,0,0,0,0,0
Iowa (Tippie),0,0,0,0,0,0
Johns Hopkins (Carey),0,0,0,0,0,0
MIT,0,0,0,49,7,56
Maryland (Smith),0,0,2,0,0,2
McGill (Desautels),0,0,1,1,0,2
Michigan (Ross),0,0,0,1,0,1
Michigan State (Broad),0,0,0,0,0,0
Minnesota (Carlson),0,0,0,0,0,0
NYU (Stern),0,14,0,0,0,14
Northeastern,0,0,0,0,0,0
Northwestern (Kellogg),0,0,2,0,0,2
Notre Dame (Mendoza),4,0,0,0,0,4
Ohio State (Fisher),0,0,0,0,0,0
Penn State (Smeal),0,0,0,0,0,0
Purdue (Daniels),0,0,0,0,0,0
SMU (Cox),2,0,0,0,0,2
Stanford,0,0,1,1,1,3
Texas A&M (Mays),0,0,0,0,0,0
Toronto (Rotman),0,2,1,1,0,4
UBC (Sauder),0,0,0,0,0,0
UC Berkeley (Haas),0,0,0,0,0,0
UC San Diego (Rady),0,0,0,0,0,0
UCLA (Anderson),0,0,0,0,0,0
UIUC (Gies),0,1,0,0,0,1
UNC (Kenan-Flagler),0,0,0,0,0,0
USC (Marshall),0,7,0,0,0,7
UT Dallas,2,2,0,0,0,4
UW (Foster),6,1,1,0,0,8
Virginia (Darden),0,0,0,0,0,0
Virginia Tech (Pamplin),1,0,0,0,0,1
WashU (Olin),0,0,0,0,0,0
Wharton (UPenn),0,12,0,1,1,14
Wisconsin-Madison,0,0,0,0,0,0
Yale,0,0,0,0,0,0
